Species,Brain.weight,IT,log_brain_weight,log_it,residuals,Habitat,Preference,brain_it
Andrena_carlini,1.6,2.929,0.4700036292457356,1.0746610678455963,0.12032787430254752,Natural,1,0.5462615227039946
Andrena_dunningi,1.6,3.696,0.4700036292457356,1.3072511537794378,-0.12356834251975989,Natural,0,0.4329004329004329
Andrena_hirticincta,1.168,2.667,0.15529288440603525,0.9809542451998772,0.03732577164087702,Natural,NA,0.43794525684289465
Andrena_milwaukeensis,1.0025,2.286,0.00249688019858714,0.8268035653726189,0.11186351745105454,Natural,1,0.4385389326334208
Andrena_miserabilis,0.6,1.957,-0.5108256237659907,0.6714126884139392,-0.01802091352997664,Natural,1,0.3065917220235053
Andrena_vicina,1.515,2.7432,0.41541543896133254,1.0091251221665736,0.15400177734714598,Natural,1,0.5522747156605424
Andrena_wilkella,1.1126666666666667,2.4341666666666666,0.10675953657153368,0.8896044666116493,0.1052324599526977,Natural,0,0.45710373159876755
Anthidium_manicatum,1.952,2.8388,0.6688544879909007,1.0433814276686908,0.18816067538110953,Natural,0,0.6876144849936593
Anthidium_oblongatum,1.8,2.679,0.5877866649021191,0.9854435905624715,0.21024532061317852,Natural,0,0.671892497200448
Augochlora_pura,0.5,2.174,-0.6931471805599453,0.7765687886990177,-0.2982537191974632,Natural,1,0.22999080036798528
Augochlorella_aurata,0.4228,1.4605,-0.8608560249860545,0.37877884284565855,0.14635546253128312,Natural,1,0.2894899007189319
Augochloropsis_metallica,0.7010000000000001,1.9685,-0.35524739194754684,0.6772718314016551,0.08813111848669207,Natural,1,0.35610871221742446
Bombus_griseocollis,3.053,4.296833333333334,1.1161247137527408,1.4578783172901866,0.00545520978011122,Natural,0,0.7105232535588223
Bombus_impatiens,2.8000000000000003,4.416,1.0296194171811583,1.4852343089747944,-0.08177225749578801,Natural,0,0.6340579710144928
Calliopsis_andreniformis,0.365,1.524,-1.0078579253996456,0.42133845726445457,-0.08079251777928179,Natural,NA,0.239501312335958
Ceratina_calcarata,0.445,1.955,-0.8096809968158968,0.6703901934373291,-0.25850191836444614,Natural,1,0.22762148337595908
Ceratina_strenua,0.153,0.889,-1.8773173575897015,-0.11765804346823246,-0.00456372636085475,Natural,NA,0.172103487064117
Colletes_thoracicus,1.5213333333333332,3.2808333333333333,0.4195871433317194,1.1880974551676458,0.0243517928187061,Natural,NA,0.46370332740665476
Halictus_confusus,0.473,1.849,-0.748659890490204,0.6146449524049877,-0.06003836368466389,Natural,0,0.2558139534883721
Halictus_ligatus,0.71,2.5999999999999996,-0.342490308946776,0.9555114450274362,-0.2378680653511072,Natural,0,0.2730769230769231
Halictus_rubicundus,0.83875,2.313875,-0.1758425906962455,0.8389236082977121,0.07315144749721554,Natural,NA,0.36248716979093515
Hylaeus_mesillae,0.26,1.4,-1.3470736479666092,0.3364722366212129,-0.04512504064931339,Natural,0,0.18571428571428572
Hylaeus_modestus,0.31,1.65,-1.171182981502945,0.5007752879124892,-0.12591256299862466,Natural,NA,0.1878787878787879
Lasioglossum_leucozonium,0.48,2.216666666666667,-0.7339691750802003,0.7960045659996531,-0.3299232070574431,Natural,0,0.21654135338345862
Lasioglossum_zonulum,0.657,2.285,-0.4200712604975265,0.8263660243461681,-0.11707145959309057,Natural,NA,0.287527352297593
Megachile_pugnata,3,4.08,1.0986122886681098,1.4060969884160703,0.09360739278260378,Natural,0,0.7352941176470588
Megachile_rotundata,1.6,2.8594999999999997,0.4700036292457356,1.0506467843732337,0.11001197338109002,Natural,0,0.5595383808358105
Megachile_texana,2.351,3.1115,0.8548407695579324,1.1351049250271354,0.29037459821393147,Natural,0,0.7555841234131448
Nomada_cressonii,1.76,2.304,0.5653138090500605,0.8346467428336447,0.15381322388400576,Natural,1,0.763888888888889
Nomada_luteoloides,1.7,2.435,0.5306282510621704,0.8899467565345531,0.05885485002134302,Natural,1,0.6981519507186857
Osmia_atriventris,0.447,2.032,-0.8051966843685682,0.7090205297162355,-0.3174855387476903,Natural,1,0.21998031496062992
Osmia_cornifrons,0.676,2.794,-0.3915622029391729,1.02747426083477,-0.46994850057217025,Natural,1,0.24194702934860415
Osmia_lignaria,1.1735,3.46075,0.15999073630894114,1.2414853285857073,-0.32804797160758875,Natural,1,0.33908834790146647
Osmia_pumila,0.6040000000000001,1.80975,-0.504181081047322,0.5931887141911137,0.13895519972233167,Natural,1,0.3337477552148087
Xylocopa_virginica,5.2,5.4314,1.6486586255873816,1.6921969276018651,0.03339971428279693,Natural,0,0.9573958831977023
Agapostemon_sericeus,0.844,2.032,-0.16960278438617998,0.7090205297162355,0.03826720070774742,Urban,NA,0.4153543307086614
Agapostemon_virescens,1.281,1.7145,0.2476410229145973,0.5391214929208379,0.5910623988860307,Urban,NA,0.7471566054243219
Andrena_carlini,1.6,2.929,0.4700036292457356,1.0746610678455963,0.12032787430254752,Urban,0,0.5462615227039946
Andrena_dunningi,1.6,3.696,0.4700036292457356,1.3072511537794378,-0.12356834251975989,Urban,NA,0.4329004329004329
Andrena_hirticincta,1.168,2.667,0.15529288440603525,0.9809542451998772,0.03732577164087702,Urban,NA,0.43794525684289465
Andrena_milwaukeensis,1.0025,2.286,0.00249688019858714,0.8268035653726189,0.11186351745105454,Urban,NA,0.4385389326334208
Andrena_miserabilis,0.6,1.957,-0.5108256237659907,0.6714126884139392,-0.01802091352997664,Urban,0,0.3065917220235053
Andrena_vicina,1.515,2.7432,0.41541543896133254,1.0091251221665736,0.15400177734714598,Urban,0,0.5522747156605424
Andrena_wilkella,1.1126666666666667,2.4341666666666666,0.10675953657153368,0.8896044666116493,0.1052324599526977,Urban,NA,0.45710373159876755
Anthidium_manicatum,1.952,2.8388,0.6688544879909007,1.0433814276686908,0.18816067538110953,Urban,1,0.6876144849936593
Anthidium_oblongatum,1.8,2.679,0.5877866649021191,0.9854435905624715,0.21024532061317852,Urban,1,0.671892497200448
Augochlora_pura,0.5,2.174,-0.6931471805599453,0.7765687886990177,-0.2982537191974632,Urban,0,0.22999080036798528
Augochlorella_aurata,0.4228,1.4605,-0.8608560249860545,0.37877884284565855,0.14635546253128312,Urban,0,0.2894899007189319
Augochloropsis_metallica,0.7010000000000001,1.9685,-0.35524739194754684,0.6772718314016551,0.08813111848669207,Urban,0,0.35610871221742446
Bombus_griseocollis,3.053,4.296833333333334,1.1161247137527408,1.4578783172901866,0.00545520978011122,Urban,1,0.7105232535588223
Bombus_impatiens,2.8000000000000003,4.416,1.0296194171811583,1.4852343089747944,-0.08177225749578801,Urban,1,0.6340579710144928
Calliopsis_andreniformis,0.365,1.524,-1.0078579253996456,0.42133845726445457,-0.08079251777928179,Urban,0,0.239501312335958
Ceratina_calcarata,0.445,1.955,-0.8096809968158968,0.6703901934373291,-0.25850191836444614,Urban,0,0.22762148337595908
Ceratina_strenua,0.153,0.889,-1.8773173575897015,-0.11765804346823246,-0.00456372636085475,Urban,NA,0.172103487064117
Colletes_thoracicus,1.5213333333333332,3.2808333333333333,0.4195871433317194,1.1880974551676458,0.0243517928187061,Urban,1,0.46370332740665476
Halictus_confusus,0.473,1.849,-0.748659890490204,0.6146449524049877,-0.06003836368466389,Urban,NA,0.2558139534883721
Halictus_ligatus,0.71,2.5999999999999996,-0.342490308946776,0.9555114450274362,-0.2378680653511072,Urban,1,0.2730769230769231
Halictus_rubicundus,0.83875,2.313875,-0.1758425906962455,0.8389236082977121,0.07315144749721554,Urban,NA,0.36248716979093515
Hylaeus_mesillae,0.26,1.4,-1.3470736479666092,0.3364722366212129,-0.04512504064931339,Urban,NA,0.18571428571428572
Hylaeus_modestus,0.31,1.65,-1.171182981502945,0.5007752879124892,-0.12591256299862466,Urban,1,0.1878787878787879
Lasioglossum_leucozonium,0.48,2.216666666666667,-0.7339691750802003,0.7960045659996531,-0.3299232070574431,Urban,0,0.21654135338345862
Lasioglossum_zonulum,0.657,2.285,-0.4200712604975265,0.8263660243461681,-0.11707145959309057,Urban,0,0.287527352297593
Megachile_pugnata,3,4.08,1.0986122886681098,1.4060969884160703,0.09360739278260378,Urban,1,0.7352941176470588
Megachile_rotundata,1.6,2.8594999999999997,0.4700036292457356,1.0506467843732337,0.11001197338109002,Urban,1,0.5595383808358105
Megachile_texana,2.351,3.1115,0.8548407695579324,1.1351049250271354,0.29037459821393147,Urban,1,0.7555841234131448
Nomada_cressonii,1.76,2.304,0.5653138090500605,0.8346467428336447,0.15381322388400576,Urban,0,0.763888888888889
Nomada_luteoloides,1.7,2.435,0.5306282510621704,0.8899467565345531,0.05885485002134302,Urban,0,0.6981519507186857
Osmia_atriventris,0.447,2.032,-0.8051966843685682,0.7090205297162355,-0.3174855387476903,Urban,0,0.21998031496062992
Osmia_cornifrons,0.676,2.794,-0.3915622029391729,1.02747426083477,-0.46994850057217025,Urban,NA,0.24194702934860415
Osmia_lignaria,1.1735,3.46075,0.15999073630894114,1.2414853285857073,-0.32804797160758875,Urban,0,0.33908834790146647
Osmia_pumila,0.6040000000000001,1.80975,-0.504181081047322,0.5931887141911137,0.13895519972233167,Urban,0,0.3337477552148087
Xylocopa_virginica,5.2,5.4314,1.6486586255873816,1.6921969276018651,0.03339971428279693,Urban,1,0.9573958831977023
